Tibetan	Description
ཀ་ཀ་ནི་ལ་	Amethyst [e:Amethyst A transparent purple precious stone, it is a type-of quartz  
ཀ་པི་ལ་	It is a synonym for Aquilaria sinensis [e:It is a synonym for Aquilaria sinensis ( ཨ་ག་རུ )     
ཀུ་ཙན་དན་	A synonym for an inferior type of Pterocarpus santalinus L.F. [e:A synonym for an inferior type of Pterocarpus santalinus L.F. ( ཙན་དན་དམར་པོ )  
ཀུན་བརྟགས་གདོན་ནད་	Diseases caused by harmful evil spirits [e:Diseases caused by harmful evil spirits; according to Tibetan Medicine, there are one hundred and one diseases of this type  
ཀེག་སྐར་	Obstacle constellations [e:Obstacle constellations  
ཀེང་རུས་ཀྱི་རྣམ་བཞག་	The skeletal system [e:The skeletal system  
ཀེང་ཤུ་ཀ་	A name of the tree from which red lac [e:A name of the tree from which red lac ( རྒྱ་སྐྱེགས ) is derived.  
ཀོ་ཐ་ཟླ་བསིལ་	Iris Potaninii Maxim [e:Iris Potaninii Maxim  
ཀོ་བྱི་ལ་	Kuchla ༼bot=༽ Strychnos Nux-Vomica Linn [e:༼sk= Kuchla༽ ༼bot=༽ Strychnos Nux-Vomica Linn ( ལྡུམ་སྟག ) Taste: Bitter Potency: Cool Uses: It cures stomach ache, respiratory problems, wind and blood combined diseases and upper back ache due to neurological disorders.  
ཀོ་བྱི་བཅུ་གསུམ་	Nuxvomica thirteen. [e:Nuxvomica thirteen. Ingredients: ཀོ་བྱི་ལ། ཨར་ནག། ཀཎ་ཌ་ཀ་རི། རུ་ཏ། མ་ནུ། ཨ་རུ། སྒ་སྐྱ། ཛ་ཏི། སྙིང་ཞོ། སླེ་ཏྲེས Nature: Cool Anthers of flowers, syn. of Crocus sativus L. ( གུར་གུམ )  
ཀོ་བྱི་བཅུ་གསུམ་	Nuxvomica thirteen. [e:Nuxvomica thirteen. Ingredients: ཀོ་བྱི་ལ། ཨར་ནག། ཀཎ་ཌ་ཀ་རི། རུ་ཏ། མ་ནུ། ཨ་རུ། སྒ་སྐྱ། ཛ་ཏི། སྙིང་ཞོ། སླེ་ཏྲེས Nature: Cool Uses: It is used against upper back-pain due to blood-wind disorders and རྐང་འབམ ascending towards upper back causing hypertension.  
ཀོན་པ་གབ་སྐྱེས་	༼bot=༽ Saussurea ilkiangensis, Saussurea Pachyneura Franch [e:༼bot=༽ Saussurea ilkiangensis, Saussurea Pachyneura Franch Taste. Bitter Potency: Cool Uses: It is useful in treating haemorrhage, chronic and new wounds, fever associated with blood and nerves, joins the ruptured and cut channels and controls bleeding.  
ཀྱི་ལྕེ་དཀར་པོ་	༼hn=༽ Trayamana ༼bot=༽ Gentiana robusta [e:༼hn=༽ Trayamana ༼bot=༽ Gentiana robusta Taste: Bitter Potency: Cool Uses: It cures bile fever and fever of hollow and vessel organs. It is also used against gastritis, hepatitis, bile disorders associated with fever, wounds and to relieve swelling.  
ཀྱི་ལྕེ་ནག་པོ་	༼hn=༽ Gul-i-ghatis ༼bot=༽ Gentiana tianschanica [e:༼hn=༽ Gul-i-ghatis ༼bot=༽ Gentiana tianschanica Taste: Bitter Potency: Cool Uses: It is used to treat fever of vessel organs, bile fever, swelling of tongue, diptheria, swelling of joints and dries serous fluids.  
ཀྲོ་མ་ཀྲོ་	༼en=༽ Tomato ༼bot=༽ Lycopersicon -esculentum [e:༼en=༽ Tomato ༼bot=༽ Lycopersicon -esculentum Taste: Sour to Sweet Potency: Cool Uses: It reduces the risk of cancer and appendicitis besides restoring blood. It promotes digestion, healthy nerves, healthy heart, healthy vision, and is effective in treating constipation, high blood pressure, liver and kidney complaints, diabetes, obesity and prevents formation of urinary stone.  
ཀླུ་བདུད་རྡོ་རྗེ་དཀར་པོ་	Codonopsis Canescens Nannf [e:Codonopsis Canescens Nannf  
ཀླུ་བདུད་རྡོ་རྗེ་ནག་པོ་	༼bot=༽ Codonopsis neryosa [e:༼bot=༽ Codonopsis neryosa (Cnipp) Nannf  
ཀླུ་བདུད་རྡོ་རྗེ་དམན་པ་	༼bot=༽ Codonopsis viridis Wallich [e:༼bot=༽ Codonopsis viridis Wallich Taste: Sweet to slightly bitter Potency: Cool Uses: It subside fever associated with lungs, excessive coughing and sputum and pain in the lungs.  
ཀླུང་ཤོ་	Rumex nepalensis Spreng, is a type of Rumex sps. [e:Rumex nepalensis Spreng, is a type of Rumex sps. ( སྲོ་མང ) Its seeds are said to be beneficial for all kinds of mouth disorders.  
བཀྲ་ཤིས་པའི་ལྟས་	Propitious omens [e:Propitious omens  
བཀྲ་ཤིས་ཟླ་བ་	The auspicious month It refers to a month with no missing or extra days [e:The auspicious month It refers to a month with no missing or extra days ( ཆད་ལྷག་མེད་པལའས་ད་བ )  
བཀྲུ་མ་སླེན་	A strong enema insertion mainly used in cases of བད་ཀན - རླུང combined disorders [e:A strong enema insertion mainly used in cases of བད་ཀན - རླུང combined disorders  
རྐྱེན་ཆགས་འབྱུང་བ་	To befall misfortune leading to death or loss of wealth [e:To befall misfortune leading to death or loss of wealth  
སྐར་ཆུ་	It generally refers to water fetched before the dawn and has been exposed to star light. It is said to be beneficial for hot disorders. [e:It generally refers to water fetched before the dawn and has been exposed to star light. It is said to be beneficial for hot disorders.  
སྐར་རྡོ་	Meteors [e:Meteors  
སྐར་ཕྲན་	༼grm=lit༽ a little star, Asteroid - small rocky objects in the solar system [e:༼grm=lit༽ a little star, Asteroid - small rocky objects in the solar system  
སྐར་མ་བཅོ་ལྔ་	quarter of an hour/ fifteen minutes [e:quarter of an hour/ fifteen minutes  
སྐར་མ་མཚོ་རྒྱལ་	Neptune [e:Neptune  
སྐོམ་དད་	trsna-roga Morbid or excessive thirst/ extreme thirst, [e:Morbid or excessive thirst/ extreme thirst, ༼sk= trsna-roga༽  
སྦྲང་རྩི་	. Nature: Cool Uses: It is used against diabetes, frequent urination, urinal infections, low heat in the lower body, indigestion, heavy sleep in the day, bed wetting and is beneficial in the reduction of blood sugar level. [e:. Nature: Cool Uses: It is used against diabetes, frequent urination, urinal infections, low heat in the lower body, indigestion, heavy sleep in the day, bed wetting and is beneficial in the reduction of blood sugar level.  
སྐྱེ་དངོས་རིག་པ་	Biology [e:Biology  
སྐྱེར་བ་	Chitra, Darvi ༼bot=༽ Indian barberry, Berberies aristata Uses: Its flower and fruit cure diarrhoea and controls dysentry. [e:༼sk= Chitra, Darvi༽ ༼bot=༽ Indian barberry, Berberies aristata Uses: Its flower and fruit cure diarrhoea and controls dysentry.  
སྐྱེར་ཤུན་	Dharuharida ༼hn=༽ Pilaka chilka ༼bot=༽ Berberis Species [e:༼hn=༽ Pilaka chilka ༼sk= Dharuharida༽ ༼bot=༽ Berberis Species (Bark)  
སྐྱེས་ཁྱིམ་	"Birth sign. ༼grm=lit༽ birth house Each planet arises at a different time in conjunction with a different &quot; སྐྱེས་ཁྱིམ &quot; [e:Birth sign. ༼grm=lit༽ birth house Each planet arises at a different time in conjunction with a different "" སྐྱེས་ཁྱིམ ""  "
སྐྱེས་རྟགས་	༼grm=lit༽ Birth mark Tibetan Astrologer can find the སྐྱེས་རྟག [e:༼grm=lit༽ Birth mark Tibetan Astrologer can find the སྐྱེས་རྟག (statue of the lord) by looking at the birth སྨེབ  
སྐྱེས་པ་དོང་བཏགས་	༼bot=༽ Corydalis sp. [e:༼bot=༽ Corydalis sp. Taste: Bitter Potency: Cool Uses: It is used to dry up excess pus formation in the lungs and visceral organs and to heal ruptured wounds and fractured cranial bones.  
སྐྱེས་སྤར་	The natal parkha, natal trigram, the birth I-ching [e:The natal parkha, natal trigram, the birth I-ching  
སྐྲག་པ་ཤིང་	༼bot=༽ Pyrus pashia [e:༼bot=༽ Pyrus pashia Taste: Sweet to sour Potency: Warm Uses: It promotes body vigour, lowers high blood pressure, treats liver disorders, eye diseases, menstrual problems and stops diarrhoea.  
བསྐལ་ཆེན་གྲངས་མེད་	Infinite aeons [e:Infinite aeons  
བསྐོལ་གྲང་	Cool pre-boiled water It cures bile disorders without raising བད་ཀན imbalances. However, if the water is left standing for more than one day, it may increase all the three humours. [e:Cool pre-boiled water It cures bile disorders without raising བད་ཀན imbalances. However, if the water is left standing for more than one day, it may increase all the three humours.  
ཁ་ཆེ་ཤ་སྐམ་	Kesar, Kukuma ༼en=༽ Saffron ༼bot=༽ Crocus Sativas [e:༼sk= Kesar, Kukuma༽ ༼en=༽ Saffron ༼bot=༽ Crocus Sativas Taste: Sweet to bitter to slightly hot Potency: Cool Uses: It restores blood, stops bleeding, and proves beneficial in treating liver ailments, མཁྲིས་པ disorders and fever.  
ཁ་དམར་	Astrological predictions of good and bad future events [e:Astrological predictions of good and bad future events  
ཁ་དམར་གདགས་	To make predictions concerning disease, good or bad events of a person. The word འཁ་དམརའ is often used in Tibetan Astrology and medicine to signify and affirm predictions. [e:To make predictions concerning disease, good or bad events of a person. The word འཁ་དམརའ is often used in Tibetan Astrology and medicine to signify and affirm predictions.  
ཁ་འཛིན་གསུམ་	༼grm=lit༽ the three supplementary ingredients; a collective name for the following three medicines. ༼m1༽ Saffron ( གུར་གུརརི ) ༼m2༽ Small cardamom ( སུག་སྨེལ ) [e:༼grm=lit༽ the three supplementary ingredients; a collective name for the following three medicines.   ༼m1༽ Saffron ( གུར་གུརརི )   ༼m2༽ Small cardamom ( སུག་སྨེལ )   ༼m3༽ Long pepper ( པི་པི་ལིང ) ཁ་ཟས Food, diets, snacks  
